id,name,price,units_sold,clicks,impressions,category,description,stock,image,sub_category,conversion_rate,rating,total_rating,rating_count,discounted_price,offer,brand
1,"Boat Airdopes 141, Low Latency, ENx Tech, 42HRS Battery, Fast Charge, IWP, IPX4, v5.1 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Bold Black)",899.0,1,32,0,Electronics,"Experience unparalleled audio freedom with the **Boat Airdopes 141 True Wireless Earbuds** in Bold Black, designed for music lovers, gamers, and professionals. Powered by Bluetooth v5.1, these earbuds deliver seamless connectivity up to 10 meters. Enjoy up to **42 hours of total playback** (6 hours per earbud, plus 36 hours from the charging case), perfect for weekend streaming or long commutes. The **BEAST Mode** ensures ultra-low latency (up to 65ms), making these earbuds ideal for immersive gaming. Equipped with **ENx Environmental Noise Cancellation**, dual built-in microphones ensure crystal-clear voice calls, even in noisy environments. The **8mm drivers** deliver boAt’s signature sound with deep bass, crisp treble, and balanced mids. With **ASAP Charge**, a 5-minute charge provides 75 minutes of playtime via the Type-C charging case. Rated **IPX4** for sweat and splash resistance, they’re perfect for workouts. Compact and lightweight (45g with case), these earbuds support Instant Wake & Pair (IWP) for quick connections. Available in stock, these earbuds are a versatile choice for daily use, gifting, or travel.",available,Screenshot_2025-06-04_095439.png,Wireless Earbuds,3.12,4.0,4,1,674.25,25,Boat
2,"Noise Airwave Max 4 Wireless Over-Ear Headphones with 70H Playtime, ENC, 40mm Driver, Low Latency(up to 40ms), Dual Pairing, BT v5.4 (Carbon Black)",5999.0,0,4,0,Electronics,"Immerse yourself in superior sound with the **Noise Airwave Max 4 Wireless Over-Ear Headphones** in Carbon Black. Featuring **70 hours of playtime**, these headphones are perfect for extended work sessions, travel, or music marathons. The **40mm dynamic drivers** deliver rich, concert-like audio with powerful bass and clear highs. With **ultra-low latency (up to 40ms)**, enjoy lag-free gaming and video streaming. **Environmental Noise Cancellation (ENC)** ensures crisp calls, while **dual device pairing** via Bluetooth v5.4 allows seamless switching between your phone and laptop. The **Instacharge** feature provides 300 minutes of playtime with just a 10-minute charge, supported by a Type-C port. Crafted with plush ear cushions and an adjustable headband, these headphones (220g) offer all-day comfort. The foldable design and included carry pouch make them travel-friendly. With a **20Hz–20kHz frequency range** and support for AAC/SBC codecs, they’re ideal for audiophiles. Available in stock, these headphones combine style, performance, and convenience for work and play.",available,Screenshot_2025-06-04_095958.png,Wireless Earbuds,0.0,1.0,0,0,5519.08,8,Noise
3,"VEGO Men's Cotton Shorts, Bermuda,Trousers, Half Pant",499.0,0,17,0,Fashion,"Elevate your casual wardrobe with the **VEGO Men's Cotton Shorts**, designed for all-day comfort and versatility. Crafted from **premium combed cotton-rich knitted jersey fabric**, these shorts offer exceptional breathability, moisture-wicking properties, and anti-pilling technology, keeping you cool during summer outings or workouts. The **regular fit** and above-knee length ensure a relaxed yet stylish look, suitable for lounging, casual meetups, or light sports. A **35mm elastic waistband** with a drawstring provides a secure, adjustable fit for all adult sizes. **Dual side pockets**, including one with a zipper, offer convenient storage for essentials like keys or a phone. The tag-free inner waistband prevents irritation, while the fabric’s durability and color retention ensure long-lasting vibrancy. Available in solid colors, these shorts are machine-washable and easy to maintain. Perfect for men seeking comfort and functionality, these shorts are in stock and ready to become your go-to casual wear.",available,Screenshot_2025-06-04_094448.png,Bottomwear,0.0,1.0,0,0,474.05,5,Unknown
4,"Babify Big Size Fibre Filled Stuffed Animal Elephant Baby Plush Material Hugging Pillow for Toddlers (60 cm, Blue) - 1 Year Above",699.0,0,0,0,Toys,"Bring joy to your toddler with the **Babify Elephant Plush Hugging Pillow** (60 cm, Blue), a perfect companion for playtime and bedtime. Made from **certified non-toxic, anti-allergic polyester Nylex fabric**, this ultra-soft plush toy is filled with **conjugate fiber** for a fluffy, huggable feel. Designed for children aged 1 and above, it features **embroidered, securely stitched eyes** to eliminate choking hazards, ensuring safety during cuddles. The **IS-9873 certified** materials guarantee peace of mind for parents. This elephant pillow sparks imagination, encouraging creative play and emotional comfort. Measuring **60 x 30 x 25 cm** and weighing 500g, it’s ideal for hugging or decorating a nursery. **Hand-washable** and easy to maintain with regular sun drying, it stays fresh and soft. Available in stock, this plush toy makes a delightful gift for birthdays or baby showers, offering endless moments of warmth and fun.",available,Screenshot_2025-06-03_162459.png,Toys /Soft Toys / Plush Toys,0.0,1.0,0,0,503.28,28,Unknown
5,"Lenovo LOQ 2024, Intel Core i5-12450HX, 12th Gen, NVIDIA RTX 2050-4GB, 24GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, Grey, 2.4Kg, 83GS00CKIN, 100% sRGB, 1Yr ADP Free Gaming Laptop",63544.0,1,45,0,Electronics,"Unleash your gaming potential with the **Lenovo LOQ 2024 Gaming Laptop** in Grey, powered by a **12th Gen Intel Core i5-12450HX** (8 cores, 12 threads, up to 4.4GHz). Paired with **24GB DDR5-4800 RAM** and a **512GB SSD** (expandable to 1TB), this laptop ensures lightning-fast performance for gaming and multitasking. The **NVIDIA GeForce RTX 2050 4GB GDDR6** graphics deliver stunning visuals on the **15.6"" FHD (1920x1080) IPS display**, featuring a **144Hz refresh rate**, **100% sRGB**, and **300 nits brightness** with anti-glare coating. **Free-Sync** and **G-Sync** eliminate screen tearing for smooth gameplay. The **Lenovo AI Engine+** and **LA1 AI Chip** optimize performance, while **dual 85mm 12V fans** and enhanced vents keep the system cool and quiet. Connectivity includes **Wi-Fi 6**, **Bluetooth 5.2**, and multiple ports (USB, HDMI, Ethernet). Pre-installed with **Windows 11 Home**, it weighs **2.4kg** and comes with a 1-year accidental damage protection plan. Available in stock, this laptop is ideal for gamers and creators seeking power and portability.",available,Screenshot_2025-05-28_165627.png,Laptops,2.27,1.0,0,0,51470.64,19,Lenovo
6,"(Refurbished) Dell Alienware M18 R1, Windows 11 Home, Intel Core I9-13980HX| NVIDIA RTX 4090, 16GB|64GB RAM|1TB SSD, FHD|Window 11|Ms Office' 21|18.0"" (45.72Cm)|Dark Metallic Moon|2.72Kg|Gaming Laptop",38899.0,2,27,0,Electronics,"Experience elite gaming with the **Refurbished Dell Alienware M18 R1 Gaming Laptop** in Dark Metallic Moon. Powered by a **13th Gen Intel Core i9-13980HX** (24 cores, up to 5.6GHz), **64GB DDR5-4800 RAM**, and a **1TB SSD**, this laptop handles demanding games and creative workloads effortlessly. The **NVIDIA GeForce RTX 4090 16GB GDDR6** graphics drive a **18.0"" QHD+ (2560x1600) display** with **165Hz refresh rate**, **100% DCI-P3**, **NVIDIA G-SYNC**, and **ComfortView Plus** for vibrant, tear-free visuals. The **Alienware CherryMX ultra-low-profile mechanical keyboard** with per-key **AlienFX lighting** enhances precision and style. Connectivity includes **Thunderbolt 4.0**, **USB 4 Gen 2**, **HDMI 2.1**, **mini-DisplayPort**, and an **SD card slot**. Pre-installed with **Windows 11 Home**, **Office Home & Student 2021**, and **15 months McAfee Antivirus**, this 2.72kg laptop is tested to perform like new with a minimum six-month warranty. Available in stock, it’s perfect for gamers seeking premium performance at a value price.",available,Screenshot_2025-06-03_161534.png,Laptops,11.76,1.0,0,0,31119.2,20,Dell
7,"Narsingha Dreams Men's Polycotton Waffle Tank Tops Sleeveless Round Neck T-Shirt for Gym, Running and Outdoor",499.0,0,14,0,Fashion,"Stay cool and active with the **Narsingha Dreams Men's Polycotton Waffle Tank Top**, designed for gym sessions, running, and outdoor adventures. Crafted from a **breathable polycotton blend**, this sleeveless round-neck T-shirt features a **waffle knit pattern** for enhanced ventilation and lightweight comfort. The **regular fit** ensures unrestricted movement, making it ideal for intense workouts or casual wear. Moisture-wicking technology keeps sweat at bay, while the durable fabric resists fading and stretching. Available in solid colors, this tank top (180g) pairs perfectly with shorts or track pants. With no pockets for a streamlined look, it’s machine-washable and easy to care for. In stock, this versatile top is a must-have for men seeking style and performance in their activewear collection, suitable for all seasons and occasions.",available,Screenshot_2025-06-04_222530.png,T-shirt,0.0,1.0,0,0,349.3,30,Unknown
8,LITTLE PUP Kids Battery Operated Big Size Jeep 12V Battery Jeep Battery Operated Ride On (Dark Black),78999.0,1,7,0,Toys,"Ignite endless fun with the LITTLE PUP Kids Battery Operated Big Size Jeep in Dark Black, crafted for young adventurers aged 2–7 (up to 45kg). Powered by a 12V 7AH lithium battery, this electric ride-on delivers up to 90 minutes of thrilling runtime after a 4-hour charge. Dual control modes let kids take the wheel with an accelerator and steering or allow parents to guide via a 2.4G remote for safe play. Enjoy LED headlights, a horn, and inbuilt music, plus Bluetooth, USB, and Aux connectivity for custom playlists. The sturdy plastic body (120 x 70 x 60 cm, 18kg) ensures durability, while four wheels with suspension offer a smooth ride on varied terrains. With forward/backward modes and a hidden charging port for sleek aesthetics, this jeep boosts hand-eye coordination and confidence. Available in stock, it’s the perfect gift for birthdays, holidays, or outdoor adventures.",available,Screenshot_2025-06-04_094249.png,Toys / Ride-on Toys / Electric Ride-ons,20.0,1.0,0,0,64779.18,18,Unknown
9,SOFTSPUN Microfiber Super Absorbent Cloth 500 GSM 40X40 cms Pack of 5 Grey! Silk Banded Edge Towel Set Extra Thick Microfiber Cleaning Cloths Perfect for Bike Auto Cars Both Interior and Exterior.,555.0,0,0,0,Kitchen Appliances,"Transform your cleaning routine with the **SOFTSPUN Microfiber Cleaning Cloth Set** (Pack of 5, Grey, 40x40 cm). Boasting **500 GSM thickness**, these ultra-absorbent cloths are crafted from premium microfiber for superior performance. The **silk-banded edges** prevent scratches, making them safe for delicate surfaces like car paint, bike frames, or glass. Ideal for interior and exterior detailing, these cloths excel at removing dust, grime, and polish without streaks. Reusable and durable, they withstand hundreds of washes while maintaining softness. Perfect for automotive enthusiasts and home cleaning, these cloths (80g each) are versatile for bikes, cars, windows, and more. Available in stock, this set is a must-have for professionals and beginners seeking flawless, swirl-free results.",available,Screenshot_2025-06-04_222235.png,Cleaning Supplies,0.0,1.0,0,0,521.7,6,Unknown
10,"HOMEXCEL Microfiber Cleaning Cloth,12 Pack Cleaning Rag,Cleaning Towels With 4 Color Assorted,11.5""X11.5""(Parrot Green/Sky Blue/Yellow/Pink)",399.0,0,8,0,Kitchen Appliances,"Elevate your cleaning game with the **HOMEXCEL Microfiber Cleaning Cloth** (12-Pack, 11.5 x 11.5"", Parrot Green/Sky blue/yellow/Pink). Made from a **87% polyester, **13% polyamide** blend**, these lint-free, scratch-free-free cloths are ultra-absorbent, perfect for streak-free cleaning of kitchens, cars, windows, and electronics. Each cloth (30g) features reinforced edges for durability, lasting through hundreds of washes. Use wet or dry with water or cleaners for versatile tasks like wiping spills, polishing surfaces, or cleaning screens. Machine-washable and eco-friendly, they reduce paper towel use. Available in stock, this vibrant set is ideal for home, office, or gifting, offering unmatched cleaning efficiency and convenience.",available,Screenshot_2025-05-28_165733.png,Cleaning Supplies,0.0,1.0,0,0,327.18,18,Unknown
